ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,XL-5050RGBC-WS2812B,"LED1,LED2,LED3,LED4,LED8,LED7,LED5,LED6,LED9",LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,9,XL-5050RGBC-WS2812B,XINGLIGHT(成兴光),LCSC,C2843785,0.049
2,SL2.1A,U2,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,SL2.1A,CoreChips(和芯润德),LCSC,C192893,0.261
3,XIAO_RP2040_SEEED,U3,XIAO_RP2040_SEEED,1,,,,,0
4,U-G-04WD-W-01,USB6,USB-A-TH_U-G-04WD-W-01,1,U-G-04WD-W-01,韩国韩荣,LCSC,C189782,0.087
5,JTJ-USB-AF-08,"USB2,USB3,USB4,USB5",USB-A-TH__USB-AF-90,4,902-131A1011D10100,精拓金,LCSC,C2345,0.048
6,10uF,"C1,C2,C8,C9,C10,C11,C12",CAP-TH_L5.5-W3.8-P3.50-D0.6,7,CD1E106MC9BER2F100,Dersonic(德尔创),LCSC,C2761733,0.057
7,1N5817_C2935162,U1,DO-41_BD2.4-L4.7-P8.70-D0.8-RD,1,1N5817,ST(意法半导体),LCSC,C2935162,0.078
8,Kailh Key Switches,"B11,B12,B21,B22,B31,B32",KEY-TH_CPG1511F01S0X,6,CPG1511F01S04,Kailh,LCSC,C400226,0
9,1N4148_C493188,"D1,D2,D3,D4,D5,D6",DO-35_BD2.0-L4.2-P8.20-D0.5-RD,6,1N4148,SMC(桑德斯),LCSC,C493188,0.018
10,HS91L02W2C01,OLED1,OLED-TH_L38.0-W12.0_HS91L02W2C01,1,HS91L02W2C01,HS(汉昇),LCSC,C5248081,2.053
11,EC11G1560421,SW1,SW-TH_EC11G1560421,1,EC11G1560421,ALPSALPINE(阿尔卑斯阿尔派),LCSC,C1322549,1.005
12,3D Printed Case,CASE1,3D-PRINTED-CASE,1,,,,,0
13,PCB,PCB1,PCB-CUSTOM,1,,,,,2.00
,,,,,,,,Merchandise Total,$7.09
,,,,,,,,Shipping Fee,$9.42
,,,,,,,,Handling Fee,$3.00
,,,,,,,,Merchandise Discount,-$0.11
,,,,,,,,Total,$19.40
,,,,,,,,PCB Cost,$2.00
,,,,,,,,PCB Shipping,$3.30
,,,,,,,,PCB Subtotal,$5.30
,,,,,,,,Taxes,$5.49
,,,,,,,,Grand Total,$30.19
